401	44.27	
402	7.84	
403	43.72	
404	50.02	
405	49.66	
406	49.63	
407	7.07	
408	37.39	
409	19.85	
410	49.62	
411	30.73	
412	21.83	
413	17.46	
414	37.79	
415	26.53	
416	25.16	
417	49.64	
418	45.09	
419	49.64	
420	12.53	
421	1.88	
422	38.94	
423	22.61	
424	43.49	
425	49.68	
426	49.65	
427	13.90	
428	40.37	
429	49.82	
430	49.66	
431	20.19	
432	37.48	
433	21.17	
434	1.62	
435	12.53	
436	28.60	
437	10.96	
438	42.20	
439	47.41	
440	18.76	
441	49.74	
442	49.66	
443	21.92	
444	49.67	
445	49.67	
446	20.32	
447	49.64	
448	49.69	
449	14.06	
450	32.98	
451	23.25	
452	3.18	
453	6.50	
454	49.65	
455	49.65	
456	49.66	
457	49.67	
458	32.68	
459	49.92	
460	22.80	
461	49.97	
462	49.90	
463	33.59	
464	49.67	
465	22.67	
466	38.96	
467	1.15	
468	12.52	
469	49.86	
470	45.23	
471	49.66	
472	49.66	
473	39.78	
474	29.13	
475	10.98	
476	17.60	
477	49.88	
478	38.86	
479	50.07	
480	25.17	
481	26.03	
482	14.55	
483	21.36	
484	50.14	
485	47.38	
486	49.66	
487	49.71	
488	43.59	
489	7.86	
490	20.67	
491	19.53	
492	49.68	
493	25.73	
494	3.72	
495	49.87	
496	49.69	
497	49.68	
498	49.67	
499	2.30	
500	28.05	
501	49.67	
502	38.89	
503	49.92	
504	12.52	
505	48.20	
506	14.26	
507	42.22	
508	3.18	
509	23.07	
510	1.65	
511	8.88	
512	49.69	
513	3.90	
514	1.63	
515	15.12	
516	3.18	
517	36.08	
518	14.16	
519	39.30	
520	12.53	
521	49.91	
522	38.95	
523	32.07	
524	28.10	
525	49.69	
526	49.68	
527	30.75	
528	49.94	
529	46.63	
530	17.68	
531	41.52	
532	37.90	
533	17.98	
534	38.88	
535	2.43	
536	31.78	
537	17.22	
538	49.91	
539	48.92	
540	37.72	
541	46.06	
542	35.80	
543	35.86	
544	24.98	
545	2.59	
546	15.03	
547	24.96	
548	49.71	
549	49.96	
550	49.89	
551	25.75	
552	43.59	
553	8.69	
554	48.18	
555	35.80	
556	49.76	
557	10.54	
558	45.10	
559	49.83	
560	12.53	
561	48.21	
562	49.84	
563	46.77	
564	49.68	
565	3.19	
566	49.89	
567	49.72	
